city,lat,lng,maxtemp,cloudiness,country,date,humidity,windspeed
natal,-5.81,-35.21,77,20,BR,1540702800,78,4.7
anqiu,36.48,119.21,64.8,0,CN,1540704493,35,19.42
porbandar,21.64,69.61,87.8,0,IN,1540702800,48,5.82
fengzhen,40.43,113.15,46.26,92,CN,1540704493,45,19.08
aranos,-24.14,19.11,71.33,0,NA,1540704493,24,10.25
lancaster,40.04,-76.31,44.6,90,US,1540702560,93,9.17
gannan,47.92,123.49,35.64,88,CN,1540704494,69,16.51
the pas,53.82,-101.24,33.8,90,CA,1540703220,100,11.41
fairbanks,64.84,-147.72,32,90,US,1540702680,97,3.31
peniche,39.36,-9.38,46.4,0,PT,1540702800,81,9.17
umzimvubu,,,,,,,,
tashla,53.71,49.75,33.8,40,RU,1540701000,97,8.95
araouane,18.9,-3.53,58.86,0,ML,1540704495,29,2.75
matagami,9.67,8.4,67.55,80,NG,1540704495,86,2.3
totness,33.74,-80.8,51.8,1,US,1540702560,93,4.7
vardo,39.62,-77.74,48.2,90,US,1540703700,100,8.05
ginir,7.14,40.71,62.6,80,ET,1540704496,89,3.98
bambous virieux,-20.34,57.76,75.2,20,MU,1540699200,64,3.36
narsaq,60.91,-46.05,32,88,GL,1540702200,95,8.05
provideniya,64.42,-173.23,26.78,56,RU,1540704160,100,4.09
goderich,43.74,-81.71,37.31,92,CA,1540704497,100,6.22
bur gabo,,,,,,,,
antakya,36.22,36.17,46.4,0,TR,1540702200,100,4.88
ust-omchug,61.13,149.63,22.46,36,RU,1540704498,90,2.53
los alamos,35.88,-106.3,55.4,1,US,1540702380,32,0.63
ojinaga,29.56,-104.41,48.69,0,US,1540704498,77,3.98
adrar,27.87,-0.29,68,0,DZ,1540702800,42,14.99
dzhusaly,,,,,,,,
petropavlovsk-kamchatskiy,53.05,158.65,44.6,75,RU,1540701000,81,8.95
quelimane,-17.88,36.89,66.2,40,MZ,1540699200,88,3.36
vieux fort,13.72,-60.95,77,20,LC,1540702800,88,11.41
anar darreh,,,,,,,,
mbanza-ngungu,-5.25,14.87,70.74,80,CD,1540704500,99,4.43
berdigestyakh,62.1,126.7,22.1,0,RU,1540704500,71,4.21
lerwick,60.15,-1.15,39.2,0,GB,1540702200,93,2.24
nipawin,53.36,-104.02,35.6,90,CA,1540702800,100,8.05
portalegre,39.29,-7.43,41.81,12,PT,1540704500,91,10.25
caravelas,-17.73,-39.27,76.91,48,BR,1540704501,100,25.9
vila franca do campo,37.72,-25.43,62.6,75,PT,1540702800,67,13.87
buala,-8.15,159.59,81.54,76,SB,1540704501,99,2.42
ilheus,-14.79,-39.05,80.6,75,BR,1540702800,83,10.29
kingston,44.23,-76.48,35.6,90,CA,1540702560,93,12.75
pacific grove,36.62,-121.92,64.4,1,US,1540702500,77,5.82
boyolangu,-8.09,111.9,89.06,20,ID,1540704502,52,8.01
bubaque,11.28,-15.83,82.26,0,GW,1540704503,100,7.67
babu,23.23,104.89,64.85,92,CN,1540704503,91,3.2
cabo san lucas,22.89,-109.91,73.4,5,MX,1540698300,88,5.82
liverpool,53.41,-2.98,39.2,20,GB,1540702200,89,12.75
lukulu,-14.38,23.24,74.93,0,ZM,1540704504,25,12.03
surt,31.21,16.59,67.59,0,LY,1540704310,100,15.5
carauari,-4.88,-66.9,77.4,20,BR,1540704433,93,3.65
strezhevoy,60.73,77.6,37.4,75,RU,1540701000,100,6.71
senges,-24.11,-49.46,55.8,0,BR,1540704504,74,10.13
acarau,,,,,,,,
lasa,34.92,32.53,60.8,0,CY,1540702800,55,10.29
dunedin,-45.87,170.5,47.61,92,NZ,1540704505,100,3.98
hirado,33.32,129.49,64.4,40,JP,1540699200,52,8.05
camacha,33.08,-16.33,62.6,40,PT,1540702800,77,20.8
cockburn town,21.46,-71.14,80.82,92,TC,1540704506,100,7.23
gigmoto,13.78,124.39,82.17,12,PH,1540704506,97,23.78
vuktyl,63.86,57.31,29.79,92,RU,1540704506,88,4.43
bonthe,7.53,-12.5,78.26,68,SL,1540704507,96,2.19
talnakh,69.49,88.39,27.27,88,RU,1540704507,90,24
marfino,56.07,37.56,42.8,75,RU,1540701000,93,13.42
fukue,35.03,136.69,66.2,20,JP,1540701000,42,2.24
pangody,65.85,74.49,25.88,68,RU,1540704508,88,11.25
husavik,50.56,-96.99,40.23,56,CA,1540704508,93,11.7
kamenka,53.19,44.05,43.38,92,RU,1540704508,96,17.52
tessalit,20.2,1.01,52.92,0,ML,1540704160,47,2.75
progreso,-34.68,-56.22,57.2,0,UY,1540702800,93,5.44
port macquarie,-31.43,152.91,64.4,90,AU,1540702800,63,11.41
tumannyy,,,,,,,,
tautira,-17.73,-149.15,75.2,40,PF,1540702800,83,3.36
bahia honda,22.9,-83.16,74.93,12,CU,1540704510,93,5.77
trinidad,-33.52,-56.9,51.57,32,UY,1540704510,91,3.53
ambovombe,-25.18,46.09,67.05,92,MG,1540704510,100,9.57
padang,-0.92,100.36,81.18,24,ID,1540704511,100,6.22
kaliua,-5.06,31.79,76.95,32,TZ,1540704511,52,5.21
atherton,53.52,-2.49,39.2,0,GB,1540702200,86,8.05
wanaraja,-7.17,107.98,74.93,80,ID,1540704511,85,2.86
san pelayo,8.96,-75.84,78.8,75,CO,1540699200,94,9.13
ouargaye,11.5,0.06,75.24,12,BF,1540704512,83,2.98
west fargo,46.88,-96.9,42.8,75,US,1540702380,93,14.99
bochnia,49.97,20.43,41,75,PL,1540702800,93,11.41
wigston,52.59,-1.11,41,40,GB,1540702200,93,5.82
rocha,-34.48,-54.34,47.66,44,UY,1540704513,88,2.75
dao,11.39,122.69,76.14,92,PH,1540704513,98,7.67
alugan,12.22,125.48,82.62,88,PH,1540704513,88,17.74
muravlenko,63.79,74.5,29.75,0,RU,1540704513,83,12.71
thinadhoo,0.53,72.93,80.15,68,MV,1540704514,100,13.27
tres arroyos,-38.38,-60.28,60.98,64,AR,1540704514,71,11.81
pelotas,-31.77,-52.34,64.4,92,BR,1540704514,90,9.01
verkhnyaya inta,65.99,60.32,29.16,80,RU,1540704514,82,3.76
sambava,-14.27,50.17,75.51,36,MG,1540704514,100,9.24
voi,-3.4,38.57,70.43,0,KE,1540704515,90,2.19
sevlievo,43.03,25.1,41,0,BG,1540702800,100,3.36
linjiang,41.81,126.91,30.51,68,CN,1540704515,59,8.01
gelemso,8.81,40.52,69.53,0,ET,1540704515,49,3.42
baiquan,47.61,126.08,33.75,88,CN,1540704516,82,14.38
eden,50.38,-99.47,33.8,20,CA,1540702800,80,10.29
cuenca,40.07,-2.13,31.05,44,ES,1540704516,100,6.11
pangnirtung,66.15,-65.72,22.73,68,CA,1540704517,96,10.8
geraldton,49.72,-86.95,35.6,90,CA,1540702800,80,3.36
teya,21.05,-89.07,78.8,40,MX,1540702020,74,4.7
erenhot,43.65,111.97,44.37,12,CN,1540704517,46,17.4
englehart,47.82,-79.87,30.2,90,CA,1540702800,80,4.7
martil,35.62,-5.28,53.6,75,MA,1540702800,81,16.11
birin,35.01,36.67,50,0,SY,1540704518,74,4.65
karratha,-20.74,116.85,101.48,0,AU,1540704518,14,11.25
kavieng,-2.57,150.8,83.7,48,PG,1540704147,100,4.76
chara,39.42,22.43,51.8,0,GR,1540702200,93,3.36
villazon,,,,,,,,
hambantota,6.12,81.12,82.08,76,LK,1540704184,100,5.32
nuuk,64.17,-51.74,33.8,76,GL,1540702200,59,13.87
san rafael,-34.61,-68.33,53.6,36,AR,1540704520,100,2.75
bryan,30.67,-96.37,68,1,US,1540702500,93,10.69
pilar,-34.46,-58.91,64.4,0,AR,1540699200,72,4.7
duz,,,,,,,,
bontang,0.12,117.47,83.75,32,ID,1540704227,100,1.41
dingle,11,122.67,82.71,92,PH,1540704521,75,4.32
tsaratanana,-16.8,47.65,80.6,0,MG,1540704521,50,5.55
omboue,-1.57,9.26,80.01,92,GA,1540704168,100,11.25
salalah,17.01,54.1,77,0,OM,1540698600,78,3.36
maldonado,-34.91,-54.96,57.2,0,UY,1540699200,93,2.24
newton stewart,54.96,-4.48,28.4,20,GB,1540702200,92,8.68
artyk,,,,,,,,
cuamba,-14.8,36.54,72.81,0,MZ,1540704523,61,5.99
puerto madryn,-42.77,-65.04,53.78,0,AR,1540704523,84,7
nampula,-15.12,39.26,75.42,20,MZ,1540704523,55,8.9
namatanai,-3.66,152.44,82.35,48,PG,1540704523,100,3.42
alice springs,-23.7,133.88,87.8,88,AU,1540702800,29,12.75
morgan city,29.7,-91.21,57.2,1,US,1540703700,100,4.09
seybaplaya,19.65,-90.67,75.2,20,MX,1540701660,88,5.82
chastoozerye,,,,,,,,
dehloran,32.69,47.27,59.81,8,IR,1540704525,100,3.98
krasnoselkup,,,,,,,,
port augusta,-32.49,137.76,69.8,92,AU,1540702800,64,9.17
kapuskasing,49.42,-82.43,28.4,90,CA,1540702800,86,6.93
batagay-alyta,67.8,130.41,-9.54,24,RU,1540704525,63,2.98
bandarban,22.2,92.22,78.8,90,BD,1540702800,88,5.82
bonavista,48.65,-53.11,35.06,8,CA,1540704291,100,6.55
kumano,34.34,132.59,66.2,75,JP,1540702500,42,8.05
mnogovershinnyy,53.94,139.92,41.45,92,RU,1540704526,97,8.57
burnie,-41.05,145.91,55.85,0,AU,1540704527,98,17.18
lata,30.78,78.62,58.95,0,IN,1540704527,56,2.08
fort nelson,58.81,-122.69,26.6,5,CA,1540702800,73,3.36
igarka,67.47,86.57,31.05,48,RU,1540704527,98,20.87
leshukonskoye,64.9,45.76,17.1,0,RU,1540704528,84,2.64
urengoy,65.96,78.37,29.07,80,RU,1540704528,92,17.4
odweyne,,,,,,,,
hami,42.84,93.51,60.75,0,CN,1540704528,45,5.21
marondera,-18.19,31.55,67.41,0,ZW,1540704528,34,8.01
ugoofaaru,5.67,73,79.25,76,MV,1540704529,100,6.67
guelengdeng,,,,,,,,
mount isa,-20.73,139.49,100.4,36,AU,1540702800,12,12.75
iringa,,,,,,,,
brae,60.4,-1.35,39.2,12,GB,1540702200,93,2.24
kodinsk,58.6,99.18,45.72,0,RU,1540704147,53,5.44
nizhneyansk,,,,,,,,
swan hill,-35.34,143.56,66.83,88,AU,1540704530,43,6.44
bolungarvik,,,,,,,,
ushtobe,45.25,77.98,71.78,80,KZ,1540704530,31,18.86
nantucket,41.28,-70.1,57.2,90,US,1540703280,93,14.99
kiunga,-6.12,141.3,87.03,68,PG,1540704531,65,2.98
ornskoldsvik,63.29,18.72,26.6,24,SE,1540702200,79,5.82
mazatlan,23.22,-106.42,75.2,5,MX,1540701840,94,1.74
airai,-8.93,125.41,88.29,20,TL,1540704531,34,2.3
alyangula,-13.85,136.42,88.83,0,AU,1540704532,81,9.13
sungurlare,42.77,26.78,55.4,0,BG,1540702800,93,11.41
mantua,45.16,10.79,60.8,75,IT,1540702500,93,6.93
olenino,56.21,33.48,39.2,76,RU,1540704532,97,15.05
carnarvon,-30.97,22.13,76.55,0,ZA,1540704187,12,2.75
henties bay,-22.12,14.28,73.08,24,NA,1540703911,71,4.76
quime,-16.98,-67.22,50.67,88,BO,1540704533,99,1.41
manggar,-2.88,108.27,82.85,36,ID,1540704533,100,4.43
naantali,60.45,22.03,28.4,0,FI,1540702200,86,6.93
huescar,37.81,-2.54,29.52,12,ES,1540704393,90,4.65
guadalupe y calvo,26.09,-106.96,45.27,0,MX,1540704538,74,2.19
chirala,15.82,80.35,85.59,0,IN,1540704423,89,12.93
hisar,29.16,75.73,85.86,0,IN,1540704538,55,4.76
manakara,-22.14,48.01,67.05,100,MG,1540704538,100,5.55
taltal,-25.41,-70.49,51.53,0,CL,1540704538,96,0.51
formosa do rio preto,-11.04,-45.19,79.2,68,BR,1540704539,64,8.68
klaksvik,62.23,-6.59,32,64,FO,1540702200,100,1.12
antofagasta,-23.65,-70.4,59,90,CL,1540699200,77,5.82
tacoronte,28.48,-16.41,68,48,ES,1540702800,100,5.82
marolambo,-20.05,48.13,67.5,12,MG,1540704540,89,3.42
kamenskoye,,,,,,,,
sabang,13.72,123.58,80.46,68,PH,1540704170,87,20.76
jawad,24.6,74.86,86.18,0,IN,1540704540,45,4.65
korla,,,,,,,,
cayhagan,9.67,122.43,84.69,24,PH,1540704541,90,13.04
te anau,-45.41,167.72,44.28,92,NZ,1540704410,99,2.86
kununurra,-15.77,128.74,109.4,0,AU,1540702800,10,11.41
ouidah,6.37,2.09,78.8,20,BJ,1540702800,94,2.24
corowa,-36,146.39,77,8,AU,1540702800,16,6.93
paducah,37.08,-88.6,42.8,1,US,1540703700,93,2.98
sangar,63.92,127.47,17.91,68,RU,1540704542,81,4.88
conde,-11.81,-37.61,76.14,24,BR,1540704542,94,14.38
gat,14.69,-16.54,74.75,12,SN,1540704543,87,7.45
ostrovnoy,68.05,39.51,26.96,80,RU,1540704251,83,12.71
masunga,-20.62,27.45,69.8,0,BW,1540702800,40,9.17
pathein,16.78,94.73,88.16,0,MM,1540704543,83,7.23
plouzane,48.38,-4.62,42.8,24,FR,1540702800,86,5.82
saint-raymond,46.89,-71.84,33.8,92,CA,1540702800,86,13.87
mwinilunga,-11.73,24.43,68.45,48,ZM,1540704544,44,6.33
ixtapa,20.71,-105.21,77,20,MX,1540702080,100,2.08
jiuquan,39.73,98.49,48.87,0,CN,1540704544,43,4.09
haines junction,60.75,-137.51,15.93,8,CA,1540704161,92,1.97
buariki,,,,,,,,
mobaye,4.33,21.18,70.92,88,CF,1540704545,98,4.09
rumonge,-3.97,29.44,79.83,8,BI,1540704545,84,4.99
kembaran,-7.38,110,78.12,64,ID,1540704545,85,1.19
walvis bay,-22.95,14.51,66.96,64,NA,1540704545,88,2.75
belaya kalitva,48.18,40.79,51.3,12,RU,1540704546,85,16.06
kapit,2.02,112.94,84.15,64,MY,1540704546,73,2.98
peace river,56.23,-117.29,32,20,CA,1540702800,81,8.05
saldanha,41.42,-6.55,33.08,68,PT,1540704546,88,6.33
novouzensk,50.46,48.14,40.95,48,RU,1540704547,81,16.28
vangaindrano,-23.35,47.6,62.64,92,MG,1540704547,100,3.42
yanaul,56.27,54.93,32.45,68,RU,1540704463,81,10.47
west wendover,40.74,-114.07,51.8,1,US,1540702560,57,6.93
grand centre,,,,,,,,
kitimat,54.02,-128.69,44.6,90,CA,1540702800,70,18.34
maragogi,-9.01,-35.22,73.17,88,BR,1540704543,96,7.45
farafangana,-22.82,47.83,65.75,92,MG,1540704548,100,7
saleaula,,,,,,,,
okhotsk,59.36,143.24,31.05,76,RU,1540704548,100,5.55
tome,38.69,141.2,66.2,20,JP,1540702800,52,9.17
washington,38.9,-77.04,51.8,90,US,1540702980,93,5.88
riyaq,,,,,,,,
nayoro,44.36,142.46,44.55,92,JP,1540704549,100,2.75
ulladulla,-35.36,150.48,64.4,40,AU,1540702800,48,13.87
kautokeino,69.01,23.04,16.29,24,NO,1540704549,94,4.88
sokoni,-12.89,28.78,74.03,0,CD,1540704549,34,9.13
mirante do paranapanema,-22.29,-51.91,64.4,0,BR,1540699200,88,2.24
tamworth,-31.09,150.93,77,92,AU,1540702800,29,10.29
gari,59.43,62.35,38.21,88,RU,1540704550,58,9.8
moa,20.66,-74.95,69.75,32,CU,1540704550,97,1.86
siddharthanagar,,,,,,,,
ngunguru,-35.62,174.5,63.99,68,NZ,1540704551,87,13.49
doctor pedro p. pena,,,,,,,,
port hueneme,34.15,-119.2,71.6,90,US,1540703220,87,4.7
sturgis,44.41,-103.51,42.8,1,US,1540702560,70,10.29
lawrenceburg,35.24,-87.33,46.4,1,US,1540702500,100,2.19
tabiauea,,,,,,,,
samana,0.12,-76.97,73.08,0,EC,1540704552,94,1.74
kutum,14.2,24.66,69.35,0,SD,1540704552,36,11.7
tarbert,55.86,-5.42,37.4,0,GB,1540702200,86,4.7
poya,-21.35,165.16,74.07,0,NC,1540704553,100,7.78
angoche,-16.23,39.91,78.12,12,MZ,1540704553,100,13.27
gewane,10.16,40.66,80.15,0,ET,1540704553,50,4.09
tuy hoa,13.08,109.3,76.68,80,VN,1540704557,100,11.7
southbridge,42.08,-72.03,44.6,90,US,1540703460,87,10.29
tiarei,-17.53,-149.33,75.2,40,PF,1540702800,83,3.36
urusha,54.05,122.9,31.95,76,RU,1540704558,48,12.71
orcopampa,-15.27,-72.34,20.34,8,PE,1540704558,83,1.19
pisco,-13.71,-76.2,66.2,90,PE,1540702800,77,2.24
belle glade,26.68,-80.67,69.8,40,US,1540702500,77,9.17
cherskiy,68.75,161.3,4.32,88,RU,1540704169,89,6.22
yulara,-25.24,130.99,86,75,AU,1540702800,35,6.93
naze,5.43,7.07,80.6,40,NG,1540702800,78,7
la macarena,2.18,-73.79,71.37,8,CO,1540704560,98,1.86
hay river,60.82,-115.79,23,40,CA,1540702800,100,2.42
dongsheng,29.72,112.52,78.12,0,CN,1540704560,47,7
halalo,,,,,,,,
martinsville,36.69,-79.87,48.2,1,US,1540704000,87,6.89
eyl,7.98,49.82,77.81,12,SO,1540704561,97,8.12
bemidji,47.48,-94.89,46.4,90,US,1540704000,100,6.93
tiszanana,47.57,20.53,60.8,0,HU,1540701900,59,16.11
faya,18.39,42.45,62.6,0,SA,1540699200,87,4.09
susanville,40.42,-120.65,60.8,1,US,1540702500,36,4.7
nuevo progreso,26.05,-97.95,68,1,US,1540702740,93,5.82
kota belud,6.35,116.43,89.6,75,MY,1540702800,75,6.93
kerteh,,,,,,,,
quthing,-30.4,27.7,70.02,0,LS,1540704562,35,2.86
luanda,-8.83,13.24,78.8,75,AO,1540699200,78,3.36
kristianstad,56.03,14.16,32,92,SE,1540702200,100,1.12
phan thiet,10.93,108.1,86.81,48,VN,1540704563,82,16.28
porto-vecchio,41.59,9.28,68,0,FR,1540702800,87,3.36
samalaeulu,,,,,,,,
pimentel,-3.7,-45.5,78.03,8,BR,1540704564,77,4.76
umm lajj,25.02,37.27,80.37,0,SA,1540704564,79,18.19
tazmalt,36.39,4.4,64.4,40,DZ,1540702800,72,9.17
faxinal,-24,-51.32,55.31,0,BR,1540704564,82,7.45
novo oriente,-5.54,-40.77,73.35,0,BR,1540704565,62,7.34
roald,62.58,6.12,32,0,NO,1540702200,100,9.17
kamaishi,39.28,141.86,64.4,75,JP,1540699200,52,6.93
christchurch,-43.53,172.64,55.4,88,NZ,1540702800,82,11.41
vetapalem,15.78,80.32,85.59,0,IN,1540704566,89,12.93
tual,-5.67,132.75,83.75,0,ID,1540704566,100,2.64
panaba,21.28,-88.27,74.48,8,MX,1540704566,87,4.88
san isidro,16.74,121.63,80.28,24,PH,1540704568,62,15.73
kirovskiy,45.09,133.51,38.79,88,RU,1540704156,75,4.54
parker,39.52,-104.76,50,20,US,1540702680,65,5.82
bonfim,3.36,-59.84,81.63,0,GY,1540704568,66,13.49
filimonovo,54.21,39.6,48.56,88,RU,1540704569,96,14.38
hervey bay,-25.3,152.85,78.71,0,AU,1540704569,81,9.13
bilma,18.69,12.92,75.38,8,NE,1540704188,29,7.45
saint-pierre,48.95,4.24,39.2,88,FR,1540702800,93,13.87
margate,-43.03,147.26,57.2,75,AU,1540702800,47,11.41
humaita,-24.93,-65.37,64.4,75,AR,1540699200,87,1.97
jaltipan,,,,,,,,
sovetskiy,56.76,48.47,29.43,92,RU,1540704571,96,11.48
buin,-33.73,-70.74,62.6,0,CL,1540699200,51,4.7
makarov,48.62,142.78,44.1,88,RU,1540704571,86,8.34
lokosovo,61.13,74.84,35.37,76,RU,1540704571,85,8.23
los llanos de aridane,28.66,-17.92,68,56,ES,1540702800,82,9.17
moerai,-22.43,-151.33,71.96,92,PF,1540704572,100,28.36
kaeo,-35.1,173.78,60.93,76,NZ,1540704572,66,9.24
dalhousie,32.54,75.98,65.93,0,IN,1540704570,21,2.3
